ISO,Country.or.Area,Subgroup,Year,Source,Unit,BirthValue,Value Footnotes
AFG,Afghanistan,Total,2011,UN_United Nations Population Division,Per 1000 population,43,
ALB,Albania,Total,2011,UN_United Nations Population Division,Per 1000 population,13,
DZA,Algeria,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
AGO,Angola,Total,2011,UN_United Nations Population Division,Per 1000 population,41,
ARG,Argentina,Total,2011,UN_United Nations Population Division,Per 1000 population,17,
ARM,Armenia,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
AUS,Australia,Total,2011,UN_United Nations Population Division,Per 1000 population,14,
AUT,Austria,Total,2011,UN_United Nations Population Division,Per 1000 population,9,
AZE,Azerbaijan,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
BHS,Bahamas,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
BHR,Bahrain,Total,2011,UN_United Nations Population Division,Per 1000 population,19,
BGD,Bangladesh,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
BRB,Barbados,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
BLR,Belarus,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
BEL,Belgium,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
BLZ,Belize,Total,2011,UN_United Nations Population Division,Per 1000 population,24,
BEN,Benin,Total,2011,UN_United Nations Population Division,Per 1000 population,39,
BTN,Bhutan,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
BOL,Bolivia (Plurinational State of),Total,2011,UN_United Nations Population Division,Per 1000 population,26,
BIH,Bosnia and Herzegovina,Total,2011,UN_United Nations Population Division,Per 1000 population,8,
BWA,Botswana,Total,2011,UN_United Nations Population Division,Per 1000 population,23,
BRA,Brazil,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
,Brunei Darussalam,Total,2011,UN_United Nations Population Division,Per 1000 population,19,
BGR,Bulgaria,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
BFA,Burkina Faso,Total,2011,UN_United Nations Population Division,Per 1000 population,43,
BDI,Burundi,Total,2011,UN_United Nations Population Division,Per 1000 population,34,
KHM,Cambodia,Total,2011,UN_United Nations Population Division,Per 1000 population,22,
CMR,Cameroon,Total,2011,UN_United Nations Population Division,Per 1000 population,36,
CAN,Canada,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
CPV,Cape Verde,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
:::CEE/CIS,CEE/CIS,Total,2011,UN_United Nations Population Division,Per 1000 population,14,1
,Central African Republic,Total,2011,UN_United Nations Population Division,Per 1000 population,35,
TCD,Chad,Total,2011,UN_United Nations Population Division,Per 1000 population,44,
CHL,Chile,Total,2011,UN_United Nations Population Division,Per 1000 population,14,
CHN,China,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
COL,Colombia,Total,2011,UN_United Nations Population Division,Per 1000 population,19,
COM,Comoros,Total,2011,UN_United Nations Population Division,Per 1000 population,37,
COD,Congo,Total,2011,UN_United Nations Population Division,Per 1000 population,35,
CRI,Costa Rica,Total,2011,UN_United Nations Population Division,Per 1000 population,16,
CIV,C??te d'Ivoire,Total,2011,UN_United Nations Population Division,Per 1000 population,34,
HRV,Croatia,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
CUB,Cuba,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
CYP,Cyprus,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
CZE,Czech Republic,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
KOR,Democratic People's Republic of Korea,Total,2011,UN_United Nations Population Division,Per 1000 population,14,
,Democratic Republic of the Congo,Total,2011,UN_United Nations Population Division,Per 1000 population,43,
DNK,Denmark,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
DJI,Djibouti,Total,2011,UN_United Nations Population Division,Per 1000 population,29,
DOM,Dominican Republic,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
,East Asia and Pacific,Total,2011,UN_United Nations Population Division,Per 1000 population,14,1
,Eastern and Southern Africa,Total,2011,UN_United Nations Population Division,Per 1000 population,35,1
ECU,Ecuador,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
EGY,Egypt,Total,2011,UN_United Nations Population Division,Per 1000 population,23,
SLV,El Salvador,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
GNQ,Equatorial Guinea,Total,2011,UN_United Nations Population Division,Per 1000 population,36,
ERI,Eritrea,Total,2011,UN_United Nations Population Division,Per 1000 population,36,
EST,Estonia,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
ETH,Ethiopia,Total,2011,UN_United Nations Population Division,Per 1000 population,31,
FJI,Fiji,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
FIN,Finland,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
FRA,France,Total,2011,UN_United Nations Population Division,Per 1000 population,13,
GAB,Gabon,Total,2011,UN_United Nations Population Division,Per 1000 population,27,
GMB,Gambia,Total,2011,UN_United Nations Population Division,Per 1000 population,38,
GEO,Georgia,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
DEU,Germany,Total,2011,UN_United Nations Population Division,Per 1000 population,9,
GHA,Ghana,Total,2011,UN_United Nations Population Division,Per 1000 population,31,
GRC,Greece,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
GRD,Grenada,Total,2011,UN_United Nations Population Division,Per 1000 population,19,
GTM,Guatemala,Total,2011,UN_United Nations Population Division,Per 1000 population,32,
GIN,Guinea,Total,2011,UN_United Nations Population Division,Per 1000 population,38,
GNB,Guinea-Bissau,Total,2011,UN_United Nations Population Division,Per 1000 population,38,
GUY,Guyana,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
HTI,Haiti,Total,2011,UN_United Nations Population Division,Per 1000 population,26,
HND,Honduras,Total,2011,UN_United Nations Population Division,Per 1000 population,26,
HUN,Hungary,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
ISL,Iceland,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
IND,India,Total,2011,UN_United Nations Population Division,Per 1000 population,22,
IDN,Indonesia,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
IRN,Iran (Islamic Republic of),Total,2011,UN_United Nations Population Division,Per 1000 population,17,
IRQ,Iraq,Total,2011,UN_United Nations Population Division,Per 1000 population,35,
IRL,Ireland,Total,2011,UN_United Nations Population Division,Per 1000 population,16,
